Repo Name,Stars,Watches,Forks,Issues,Issues (Internal),Issues (External),Open Issues,Stale Issues (No activity for >14 days),% Stale Issues,Old Issues (Open for >120 days),% Old Issues,% Issues Closed by Pull Request,Average Issue Open Time (Days),Pull Requests,Pull Requests (Internal),Pull Requests (External),Open Pull Requests,Average Pull Request Time to Merge (Days),Contributors (All Time),Contributors (All Time - Internal),Contributors (All Time - External),Issues Opened,Issues Opened (Internal),Issues Opened (External),Issues Opened (First Time Contributor),Issues Closed,Pull Requests Opened,Pull Requests Opened (Internal),Pull Requests Opened (External),Pull Requests Opened (First Time Contributor),Pull Requests Merged,Pull Requests Closed,Contributors (This Period),Contributors (This Period - Internal),Contributors (This Period - External),Contributors (This Period - First Time Contributor)
jpo-ode,79,26,41,110,46,64,2,2,100%,2,100%,2%,95,460,202,252,0,7,45,12,33,0,0,0,0,0,9,9,0,0,10,1,2,2,0,0
jpo-cvdp,15,14,10,4,1,3,2,2,100%,1,50%,50%,939,45,20,25,0,11,12,3,9,0,0,0,0,0,4,3,1,0,5,0,2,1,1,0
jpo-s3-deposit,4,9,4,10,9,1,2,2,100%,2,100%,25%,287,61,35,26,0,27,13,6,7,0,0,0,0,0,4,2,2,0,4,1,2,1,1,0
jpo-security,4,10,3,1,0,1,1,1,100%,1,100%,N/A,N/A,10,0,10,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
usdot-jpo-ode.github.io,2,6,1,0,0,0,0,0,N/A,0,N/A,N/A,N/A,3,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
asn1_codec,14,13,18,10,2,8,3,3,100%,1,33%,0%,74,55,38,17,0,10,15,7,8,0,0,0,0,0,3,3,0,0,4,0,2,2,0,0
jpo-tim-builder,4,10,4,2,0,2,1,1,100%,1,100%,0%,0,1,0,1,0,26,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jpo-security-svcs,3,10,2,3,1,2,0,0,N/A,0,N/A,0%,31,34,20,14,0,11,10,2,8,0,0,0,0,0,2,0,2,0,0,2,1,0,1,0
jpo-ode-scms-asn,0,7,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
scms-asn1,4,7,2,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wzdx,92,52,60,140,92,48,11,11,100%,11,100%,7%,234,181,156,25,0,48,44,10,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jpo-record-parser,0,6,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,2,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jpo-sdw-depositor,3,7,5,3,1,2,0,0,N/A,0,N/A,0%,452,46,20,26,0,23,11,2,9,0,0,0,0,0,3,2,1,0,3,0,2,1,1,0
ode-output-validator-library,2,9,7,4,0,4,3,3,100%,3,100%,0%,1353,40,3,37,0,1,7,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wzdc-tool,1,7,0,1,1,0,0,0,N/A,0,N/A,0%,0,0,0,0,0,N/A,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TDx,4,15,1,9,9,0,9,8,89%,9,100%,N/A,N/A,7,7,0,0,113,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jpo-geojsonconverter,3,8,6,4,4,0,1,1,100%,1,100%,33%,12,88,75,13,0,13,10,7,3,0,0,0,0,1,11,11,0,0,8,3,4,4,0,0
jpo-conflictmonitor,0,10,4,5,5,0,4,0,0%,0,0%,0%,19,142,142,0,3,4,7,7,0,0,0,0,0,0,10,10,0,0,10,0,3,3,0,0
jpo-conflictvisualizer,0,9,4,1,1,0,1,1,100%,0,0%,N/A,N/A,135,133,2,3,2,9,7,2,0,0,0,0,0,3,3,0,0,3,0,2,2,0,0
jpo-cvmanager,2,9,4,0,0,0,0,0,N/A,0,N/A,N/A,N/A,34,33,1,0,7,7,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
jpo-cvportal,0,7,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jpo-utils,1,8,3,2,2,0,2,1,50%,1,50%,N/A,N/A,31,30,1,0,2,6,5,1,1,1,0,0,0,12,12,0,0,12,0,3,3,0,0
TOTAL,237,259,179,309,174,135,42,36,86%,33,79%,6%,179,1375,914,455,7,13,98,26,77,1,1,0,0,1,61,55,6,0,60,7,9,8,2,0
